id,title,status,date,purpose,method,country_code,description,organizations,target,link,enforcement_details,revision
5eac6d6e04a448cffe614904,Home Quarantine (Kwarantanna domowa): Poland’s Home Quarantine App,launched,,Quarantine enforcement,"App, Smartphone",PL,The Home Quarantine app requires users to submit selfies to prove that they are complying with quarantine requirements. Geolocation and facial recognition confirm that they are adhering to the rules.,Ministry of Digital Affairs,general_public,https://www.politico.eu/article/poland-coronavirus-app-offers-playbook-for-other-governments/,"Mandatory, although alternatives provided included police visits",6
5eac6d6e04a448cffe614905,Qatari drones used for lockdown enforcement,launched,,Lockdown enforcement,Drones,QA,"Qatar announced it was carrying out a drone-based ""awareness drive"" targeting foreign workers, after images of what appeared to be foreign nationals praying on the roof of apartment buildings in a Doha suburb the previous weekend were published by local media.",,general_public,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,,5
5eac6d6e04a448cffe614906,Moscow plans geo-location tracking for tourists,announced,,Contact tracing,"GPS, Telecom data",RU,"According to the Moscow Times, “Moscow is planning to track foreign tourists' movements through smartphone geolocation for coronavirus prevention after Russia reopens its national borders"".",Yandex,general_public,https://www.themoscowtimes.com/2020/04/09/moscow-plans-coronavirus-surveillance-for-foreigners-kommersant-a69928,,4
5eac6d6e04a448cffe614907,Drones used in Kigali to enforce lockdown,launched,,Lockdown enforcement,Drones,RW,"In Kigali, police stop cars and pedestrians to ask why they are out, while two drones fly above them – one broadcasting instructions and the other ""monitoring movements"".",,general_public,https://news.trust.org/item/20200417122026-ybz1s/,,2
5eac6d6e04a448cffe614909,Saudi drones deployed to detect fevers,launched,,Medical diagnostics,"AI, Drones, Fever detection, Thermal imaging",SA,"In Saudi Arabia, municipal authorities used drones to measure body temperatures of shoppers in Buraidah. The drones were fitted with artificial intelligence-enabled thermal cameras.",,general_public,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,,7
5eac6d6e04a448cffe61490a,Sweden aggregated anonymized location tracking,launched,,Mobility tracking,Telecom data,SE,"Sweden is using location data from a local telecom company to assess country-wide movements. ""The data can also be used as a basis for making decisions on possible measures, and to evaluate the effect of measures already taken, such as recommendations to keep distances and to avoid unnecessary travel,"" the health authority says.","Accenture, Swedish Public Health Agency, Telia",general_public,https://computersweden.idg.se/2.2683/1.733045/telia-data-corona,,2
5eac6d6e04a448cffe61490b,ProteGo Safe: Polish contact tracing and self-assessment app,launched,,"Contact tracing, Self-diagnosis","App, Google Apple Exposure Notification (GAEN), Smartphone",PL,The app has two functions: the self-monitoring modules and the contact tracing function.,"Apple, Google, Ministry of Digital Affairs",general_public,"https://www.polskieradio.pl/395/7789/Artykul/2495749,Polish-app-aims-to-monitor-coronavirus-infections",Voluntary,3
5eac6d6e04a448cffe61490c,TraceTogether: Singapore's contact tracing app,launched,2020-03-20,Contact tracing,"App, Bluetooth, QR code, Smartphone",SG,"If two people who have downloaded the app spend at least 30 minutes within 2 metres of each other, their phones ""shake hands"", exchanging a unique code that is stored on their phone for 21 days. If one of them becomes infected, disease detectives can use these codes to quickly identify who else might be at risk."," Gov Tech, Ministry of Health",general_public,https://www.tracetogether.gov.sg/common/privacystatement,Voluntary,5
5eac6d6e04a448cffe61490d,Singapore's quarantine enforcement texts,launched,,Quarantine enforcement,"App, Smartphone",SG,"In Singapore, the government uses text messages to contact people, who must click on a link to prove they are at home.",,general_public,https://www.reuters.com/article/us-health-coronavirus-taiwan-surveillanc/taiwans-new-electronic-fence-for-quarantines-leads-wave-of-virus-monitoring-idUSKBN2170SK,,1
5eac6d6e04a448cffe61490e,AOT Airport App: Thailand's application for inbound travellers,launched,,Quarantine enforcement,"App, Telecom data",TH,"The app must be installed before passing through immigration points for those who have travelled to, or returned from, contagious areas outside Thailand. This application will track tourists and returnees by using the mobile phone location data and will notify the NBTC, and the mobile phone service provider, if the user is infected after entry into Thailand.","Airports of Thailand (AOT), Thailand Department of Disease Control (DDC), Thailand National Broadcasting and Telecommunications Commission (NBTC), Thailand National Science and Technology Development Agency (NSTDA).",general_public,https://onezero.medium.com/the-pandemic-is-a-trojan-horse-for-surveillance-programs-around-the-world-887fa6f12ec9,,1
